"행정구역(시군구)별",2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"행정구역(시군구)별",총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명)
"통영시",17866,19044,14586,16816,16888,18649,14510,16412,13561,16092,12630,14699
"사천시",14164,14745,13708,14097,13759,13742,12992,14496,15911,16277,13303,13599
"김해시",56318,58518,61662,60735,55925,55510,76273,68644,61638,62359,58036,61982
"밀양시",12610,11697,11174,11174,10849,11230,11681,12234,13179,13096,11306,11461
"거제시",38264,39232,36032,40685,36544,41193,28671,31470,29264,32158,27395,31657
"양산시",54218,40077,60404,40444,45184,36537,42436,41494,44133,43322,45583,43078
"의령군",2718,2856,2605,2592,2719,2598,2319,2475,2628,2666,2559,2572
"함안군",7498,7571,6864,7365,6269,7092,5795,6803,5908,6971,5728,6725
"창녕군",7924,7401,7375,6937,6858,7124,6215,6805,6733,7200,6497,6898
"양산군",0,0,0,0,0,0,0,0,0,0,0,0
"고성군",4704,4921,4536,4749,4474,4803,4196,4695,4324,4743,4378,4544
"남해군",3573,3725,3631,3546,3530,3571,3693,3478,3728,3794,3704,3679
"하동군",5657,5898,5278,5602,4507,5374,4720,5268,3914,5208,3626,4357
"산청군",3739,3430,4058,3509,3539,3567,3423,3623,3525,3638,3435,3367
"함양군",3632,3435,3856,3535,4058,3802,3558,3577,3386,3493,3413,3574
"거창군",4922,4614,4249,4390,4888,4751,4845,4686,4784,4995,5116,4926
"합천군",4367,4952,4121,4555,3776,4233,3516,3637,3737,4318,3611,3855
"제주특별자치도",106825,92193,105027,91022,104202,95349,94966,92030,98114,94736,94979,91062
"제주시",77839,69300,72530,65887,76061,70184,68638,66180,71080,68574,67139,65654
"서귀포시",28986,22893,32497,25135,28141,25165,26328,25850,27034,26162,27840,25408
"북제주군",0,0,0,0,0,0,0,0,0,0,0,0
"남제주군",0,0,0,0,0,0,0,0,0,0,0,0
