시점,행정구역(시군구)별,성별,계,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2021,포항시,계,501057.5,28450,27937.5,25641,32625.5,34595,22405.5,15192.5,18041,10521.5,7519.5,5280,1816,369.5,54
2021,포항시,여자,247506,12380,11579,11548.5,15765.5,17464,11361,8565,12402,6701,5701,3856,1488.5,306.5,50
2021,남구,계,229480.5,12948.5,13383.5,11599,14649.5,16253.5,10540,6985.5,7875,4663.5,3211.5,2274.5,747.5,163.5,26
2021,남구,여자,110991.5,5411.5,5277.5,5034.5,6952,8121,5309.5,3842,5433,2968,2465,1677,628.5,135.5,24
2021,북구,계,271577,15501.5,14554,14042,17976,18341.5,11865.5,8207,10166,5858,4308,3005.5,1068.5,206,28
2021,북구,여자,136514.5,6968.5,6301.5,6514,8813.5,9343,6051.5,4723,6969,3733,3236,2179,860,171,26
2021,경주시,계,251308,13758,12469,11345.5,13485.5,18467,13837.5,10828,15028,8510,6518,4706.5,1477.5,291,43
2021,경주시,여자,125514.5,6073,5348.5,5114.5,6451,9558,7357,6328.5,10497.5,5630,4867.5,3397,1191,241,38.5
2021,김천시,계,139800,7362.5,6993,6609.5,8124.5,10048.5,7498.5,5920,9494.5,5276,4218.5,2986,1028,178,26.5
2021,김천시,여자,69683.5,3295.5,3017.5,3031.5,3940.5,5239,3975.5,3556.5,6519,3454,3065,2097,792,150,26
2021,안동시,계,157300.5,8465,8038.5,6933,8228,11696.5,8822,7769.5,11289.5,6271.5,5018,3522.5,1198,262.5,35
2021,안동시,여자,79498.5,3895,3608,3240,4019,6229.5,4588.5,4559.5,7593,3957.5,3635.5,2449.5,948,210,28
2021,구미시,계,412773.5,26734,28664,29025.5,34965,15502.5,9445.5,6755,9401.5,5226,4175.5,2963,971,211,30.5
2021,구미시,여자,200965.5,11597,12910,13226,16653,7756.5,4949,4088,6629,3480.5,3148.5,2151,786,182.5,29
2021,영주시,계,102053.5,5290.5,4232.5,3642.5,4623,8563.5,6419,5374,8054,4543.5,3510.5,2422.5,849,195.5,43.5
2021,영주시,여자,51432.5,2218.5,1729,1597.5,2246.5,4549.5,3353.5,3113.5,5371.5,2817,2554.5,1698,653.5,166.5,36.5
2021,영천시,계,101439.5,5102.5,4778,4345.5,4909,8707.5,6967,5627.5,7948,4584.5,3363.5,2523,716,108,16.5
2021,영천시,여자,49911.5,2070,1990.5,1987,2231,4437.5,3569.5,3343.5,5427.5,2984.5,2443,1799,542,88.5,13.5
2021,상주시,계,95902.5,4483,3398.5,3130.5,4048,8372.5,6763,5704.5,9820,5416.5,4403.5,3056,1055.5,256.5,35.5
2021,상주시,여자,48861.5,1899.5,1412,1438,1874,4363.5,3572.5,3458.5,6906,3615,3291,2192,853,213.5,32.5
2021,문경시,계,70757,3533.5,2626.5,2373.5,3149.5,6173,4936.5,4226.5,6463.5,3679.5,2784,1930.5,669,156.5,28
2021,문경시,여자,36007,1554.5,1125,1092,1513.5,3238.5,2641.5,2530,4490,2388.5,2101.5,1415,529.5,134,23
2021,경산시,계,264627,18116.5,18011.5,15389.5,17498,15296.5,11415,8352,10711,6310.5,4400.5,3219,989,171,21.5
2021,경산시,여자,131596.5,8530,7840,6900.5,8320,7992,6173,4803,7176.5,4025.5,3151,2229.5,753.5,148,20
2021,군위군,계,22981,732,712,593.5,657.5,2558.5,2122,1874.5,3002,1683,1319,971,293.5,45.5,9
2021,군위군,여자,11208.5,302.5,267,224,299.5,1231,1063.5,1079,2028,1079.5,948.5,669,231,39.5,9
2021,의성군,계,50814.5,1481.5,1503,1430.5,1637.5,5652,4601,4264,7037.5,3919,3118.5,2279.5,696.5,125.5,17
2021,의성군,여자,25935.5,633,630,612.5,746,2864,2454.5,2529.5,4825.5,2544.5,2281,1622,534,108,17
2021,청송군,계,24679.5,807.5,819.5,744,868.5,2580.5,2090,1895.5,2848.5,1643,1205.5,875,272,48,10.5
2021,청송군,여자,12354.5,355,284,282,388.5,1302.5,1072,1147,1900.5,1054,846.5,581,212.5,43.5,9.5
2021,영양군,계,16403.5,571.5,531,483.5,523,1625.5,1291.5,1334,1999.5,1155.5,844,576,212,44,12
2021,영양군,여자,8237.5,232,229.5,217,240.5,806,677.5,807,1367.5,735,632.5,426,162,34.5,10
2021,영덕군,계,35538,1210.5,1107,963,1286.5,3516.5,2922,2899,4387.5,2521,1866.5,1316.5,437.5,97.5,15
2021,영덕군,여자,18667,518,445,449.5,627.5,1867,1603.5,1846.5,3097,1688.5,1408.5,957.5,356,81,14
2021,청도군,계,41837.5,1420,1293,1166,1478.5,4595,3772.5,2834.5,4967.5,2664,2303.5,1675.5,517.5,101.5,9
2021,청도군,여자,21270.5,583.5,530,512.5,714,2325,1928,1650.5,3466.5,1742,1724.5,1221,412.5,82,9
2021,고령군,계,30839,1324.5,1091.5,944.5,1196.5,2893.5,2260,1845,3016.5,1708.5,1308,979,270.5,54,4.5
2021,고령군,여자,15003.5,557.5,448.5,411,554.5,1395,1172.5,1101,2054.5,1122,932.5,681,206,42,3.5
2021,성주군,계,42900,1651.5,1708,1498,1693,4227,3417.5,2448.5,4033,2174,1859,1349,419.5,80,10.5
2021,성주군,여자,20666,683.5,669,656.5,787,2076,1745,1379.5,2770.5,1381.5,1389,988.5,322.5,68.5,9.5
2021,칠곡군,계,113556.5,6098.5,5671,5971,8250,5836,4190,3424.5,5132,2882,2250,1607.5,520,108.5,14
2021,칠곡군,여자,54375,2536,2515,2702,3799,2935,2154.5,2096,3522,1910.5,1611.5,1114,393,91.5,13
2021,예천군,계,55464,2061.5,1997,2310,3033,4495.5,3556.5,3213,5712,3106.5,2605.5,1903,570.5,109,23
2021,예천군,여자,28188,897,872,1112,1540,2295.5,1878.5,1871.5,3882.5,1975.5,1907,1336,465.5,83,22.5
2021,봉화군,계,30870.5,1038.5,869,800.5,1027.5,3175,2466.5,2203.5,3748,2067,1681,1166,395,102,18
2021,봉화군,여자,15291,426,349,338.5,487,1523,1239.5,1314,2505.5,1313,1192.5,794,290.5,91,17
2021,울진군,계,48077.5,2268,2089,1966,2194.5,3676,2848,2742,4510,2437,2073,1402.5,545,113.5,12
2021,울진군,여자,23932.5,960,810.5,841.5,1037,1893.5,1471.5,1683.5,3237.5,1631.5,1606,1047,444,103.5,11.5
2021,울릉군,계,8847,389,429,353.5,454,744,574.5,456,557.5,311.5,246,171,60,13,2
2021,울릉군,여자,4009.5,167.5,149,137,191.5,354,294.5,256.5,357,188,169,113.5,44,9.5,2
2021,경상남도,계,3311248.5,188327,181409.5,169695.5,218062.5,199239.5,140810.5,105463.5,145466.5,82729,62737.5,44725,14814,2832.5,366
2021,경상남도,여자,1644741,83287.5,80371.5,79401,105469,101542.5,74497.5,62055.5,101967.5,54487.5,47480,32804,11957.5,2408,310.5
2021,진주시,계,346380.5,22857.5,21913,18915.5,22126.5,19837,14599,11018,14600,8306.5,6293.5,4463.5,1473.5,309.5,47
2021,진주시,여자,175134.5,10425.5,9738,8860.5,11120,10496,7977,6423.5,10296,5469.5,4826.5,3318,1205,262,41.5
2021,통영시,계,126111.5,5931.5,4887,5099.5,7876,8959,6471,4673.5,5528,3263.5,2264.5,1618.5,536.5,99.5,10
2021,통영시,여자,62814,2559.5,2230,2450,3856,4596,3357.5,2723.5,3880.5,2171,1709.5,1182.5,431,87,9
2021,사천시,계,109887,5336.5,5163,4922.5,6526.5,7484.5,5920,4741,6739.5,3821.5,2918,2064.5,699,136.5,18
2021,사천시,여자,54469.5,2228.5,1998,2145.5,3108.5,3888,3210.5,2870,4773.5,2529.5,2244,1527,578,125,14
2021,김해시,계,537685,35142.5,32564,29511,38089.5,23422.5,15553.5,11048.5,13216.5,7849.5,5367,3912.5,1219,208.5,27
2021,김해시,여자,265863,15860.5,14915.5,14045,18652,11781.5,8424.5,6514.5,9274.5,5208.5,4066,2879,990,176,21
2021,밀양시,계,103474.5,4630.5,4261,3749.5,4824.5,9651.5,7123,5556,7920.5,4480,3440.5,2524.5,764,131.5,20.5
2021,밀양시,여자,52679.5,2001.5,1737.5,1733.5,2315,4970,3825,3287,5626.5,3040.5,2586,1842.5,613,115,15.5
2021,거제시,계,242384.5,12825.5,10683,12954,21596.5,10780,6636.5,4414.5,5891,3178.5,2712.5,1887.5,671,133,21
2021,거제시,여자,115428,5463.5,4744,6234,10225.5,5295,3236,2546,4209.5,2113,2096.5,1399,568.5,112.5,16.5
2021,양산시,계,352203,19314,20691,20834,27264.5,18260.5,12494.5,8993.5,10288,6187.5,4100.5,2949.5,934.5,193,23.5
2021,양산시,여자,175770,8836,9703.5,10138,13268,9462,6699,5105,6870,3926,2944,2032,728.5,163.5,20
2021,통합창원시,계,1029442.5,62517,64923,59640,71672.5,59768.5,38639,25614,30604.5,17908.5,12696,9117.5,2953,562.5,63
2021,통합창원시,여자,508011.5,27661.5,28602,27508,34248,30468.5,20170.5,14491,20927,11417.5,9509.5,6586.5,2398.5,472,52.5
2021,의창구,계,224205.5,14322.5,15163.5,13642.5,15998,12355.5,7390.5,4718,5966.5,3402,2564.5,1830.5,608.5,107.5,18
2021,의창구,여자,110075.5,6360,6673,6307,7656,6158.5,3690.5,2646,4198.5,2250.5,1948,1339.5,501,92,15.5
2021,성산구,계,247225.5,17569,19264.5,16871,16888,10113.5,5420,3135,4114.5,2263.5,1851,1299.5,451,93,7.5
2021,성산구,여자,121185.5,7724.5,8530,7608.5,8129,4862,2666,1757,2972.5,1527.5,1445,988.5,377.5,74,5
2021,마산합포구,계,177058.5,9518,9319,8934.5,11829,13667.5,9801,6863,8251,4806.5,3444.5,2426,837,166,15.5
2021,마산합포구,여자,88954,4245,4175.5,4194,5585,7213.5,5255.5,3928,5626.5,3055,2571.5,1752.5,667,139.5,12.5
2021,마산회원구,계,187892.5,10954,10706.5,9292.5,11598,13234.5,9081,5882.5,6146,3825,2321,1721.5,490,96.5,13
2021,마산회원구,여자,93715.5,4868,4797.5,4307.5,5529,6916.5,4889.5,3268.5,4064,2347.5,1716.5,1221,402,82,11.5
2021,진해구,계,193060.5,10153.5,10469.5,10899.5,15359.5,10397.5,6946.5,5015.5,6126.5,3611.5,2515,1840,566.5,99.5,9
2021,진해구,여자,94081,4464,4426,5091,7349,5318,3669,2891.5,4065.5,2237,1828.5,1285,451,84.5,8
2021,의령군,계,26455.5,995.5,946,762.5,906,2535.5,2008.5,1890,3562,1913,1649,1177,394.5,69.5,8
2021,의령군,여자,13458.5,437.5,392.5,348.5,428.5,1219,1060,1212.5,2567.5,1297,1270.5,895,311.5,57.5,6.5
